question,answer,cat,sub_cat
What if the phone is not switching on?,If the phone is not in working condition then it is not eligible for trade up.,mobilenew,mobile_modems
"What if the phone is switching on and working, but has crack on the body?",Phone is acceptable.,mobilenew,mobile_modems
How to check the IMEI validity?,Type *#06# and check if that number matches with the IMEI mentioned on the back side of the phone.,mobilenew,mobile_modems
Can non Etisalat customers trade in a device and purchase a new device?,Yes. Customer need to buy a new Etisalat number first and trade-in their old device against purchase of a new BE phones.,mobilenew,mobile_modems
How to clear personal information and data from the device?,"Most devices allow erasing all of personal data - contact list, photos, text messages, etc. -and resetting the device to its factory settings. Just refer to the owner's manual or the manufacturer's website.,Please make sure to remove any user locks, or set the password to 0000, before submitting the device.",mobilenew,mobile_modems
Should the customer submit charger and other accessories?,No. Only the device with the battery in the unit is required to be traded up.,mobilenew,mobile_modems
When will the customer buy the new BE phone after submitting old phone?,Immediately over the counter.,mobilenew,mobile_modems
Can the customer buy the new BE phone and come back later to submit old device?,No. Customer should submit the old device before purchasing the new BE phone.,mobilenew,mobile_modems
What if a business or a company is interested and would like to submit multiple devices?,They should bring all devices to the outlet and follow the same procedure for each device to purchase new BE phones.,mobilenew,mobile_modems
Where and how will I be able to use the pack?,"See below table as quick guide for your pack usability:, ,*Preferred country is a destination with at least 1 preferred roaming partner",mobilenew,mobile_roaming
What happens if I call a non-preferred country/destination?,The call will proceed but will be charged as per standard roaming rates. We advise you to be aware of the destination you are calling to avoid extra roaming charges.,mobilenew,mobile_roaming
Can I cancel (or unsubscribe) the pack after purchasing?,No. Cancellation of any one-time packs is not allowed.,mobilenew,mobile_roaming
Can I purchase more than one pack or different types? What is the priority?,"Yes, you can simultaneously purchase roaming packages whether similar packs or different packs.
,
However, allowances and validity periods are not cumulative. Usage priority shall be on the higher value.,Example: Daily Combo Pack + Weekly Combo Pack
,
  • When you start a valid roaming usage (whether voice or data), it is consumed first from the Weekly Combo Pack.
,
  • Once data is fully-consumed (but pack is still valid with voice allowances), succeeding data usage will activate the Daily Combo Pack.
,
  • When you make valid outgoing calls or receive incoming calls, it will consume from the Weekly Combo Pack.",mobilenew,mobile_roaming
Will Roaming Callback usage be part of this voice pack allowance?,No. Roaming callback usage will be charged separately as per its standard rate.,mobilenew,mobile_roaming
How many data units will I get for my package allowance?,"etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_roaming
"How my data units will be consumed for package, and pay-as-you-go usage?","When consuming data from a roaming data package, or at a pay-as-you-go rate your allowance will be deducted on the basis of 30 KB increments. Only in Lebanon, your pay-as-you-go roaming data usage without any package, will be rated on a 10 KB pulse.",mobilenew,mobile_roaming
How will I be charged for subscribing to this pack?,"When you subscribe to this pack, charging will be applied immediately but validity starts upon 1st applicable usage in Saudi Arabia (not upon purchase).",mobilenew,mobile_roaming
Where and how will I be able to use the pack?,"See below quick guide for your pack usability:
,
  • For data and voice usages, you can connect with any network in KSA (Mobily, STC, Zain)
,
  • When making outgoing voice calls from your pack, you can call UAE + ,* but excluding satellite, maritime, flight and premium numbers.
,
  (*Preferred country is a destination with at least 1 preferred roaming partner)",mobilenew,mobile_roaming
What happens if I call a non-preferred country/destination?,The call will proceed but will be charged as per standard roaming rates. We advise you to be aware of the destination you are calling to avoid extra roaming charges.,mobilenew,mobile_roaming
Can I cancel (or unsubscribe) the pack after purchasing?,No. Cancellation of any one-time pack is not allowed.,mobilenew,mobile_roaming
Can I purchase more than one pack or different types? What is the priority?,"Yes, you can simultaneously purchase roaming packages whether similar packs or different packs.
,
However, allowances and validity periods are not cumulative. Usage priority shall be on the higher value.,Example: Daily Combo Pack + Umrah & Hajj Pack
,
  • When you start a valid roaming usage (whether voice or data), it is consumed first from the Umrah & Hajj Pack.
,
  • Once data is fully-consumed (but pack is still valid with voice allowances), succeeding data usage will activate the Daily Combo Pack.
,
  • When you make valid outgoing calls or receive incoming calls, it will consume from the Umrah & Hajj Pack.",mobilenew,mobile_roaming
Will Roaming Callback usage be part of this voice pack allowance?,No. Roaming callback usage will be charged separately as per its standard rate.,mobilenew,mobile_roaming
How many data units will I get for my package allowance?,Yes you can. Pack is valid for 2 weeks (14 days) from subscription/activation date & time.,mobilenew,mobile_roaming
Can I cancel the pack after purchasing?,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_roaming
"How my data units will be consumed for package, and pay-as-you-go usage?","When consuming data from a roaming data package, or at a pay-as-you-go rate your allowance will be deducted on the basis of 30 KB increments.",mobilenew,mobile_roaming
How will I be charged for subscribing to this pack?,"When you subscribe to this pack, charging will be applied immediately but validity starts upon 1st applicable usage in eligible countries (not upon purchase).",mobilenew,mobile_roaming
Where and how will I be able to use the pack?,"See below table as quick guide for your pack usability:, ,*Preferred country is a destination with at least 1 preferred roaming partner",mobilenew,mobile_roaming
What happens if I call a non-preferred country/destination?,The call will proceed but will be charged as per standard roaming rates. We advise you to be aware of the destination you are calling to avoid extra roaming charges.,mobilenew,mobile_roaming
Can I cancel (or unsubscribe) the pack after purchasing?,No. Cancellation of any one-time pack is not allowed.,mobilenew,mobile_roaming
Can I purchase more than one pack or different types? What is the priority?,"Yes, you can simultaneously purchase roaming packages whether similar packs or different packs.
,
However, allowances and validity periods are not cumulative. Usage priority shall be on the higher value.,Example: Daily Combo Pack + Economy Class Pack
,
  • When you start a valid roaming usage (whether voice or data), it is consumed first from the Economy Class Pack.
,
  • Once data is fully-consumed (but pack is still valid with voice allowances), succeeding data usage will activate the Daily Combo Pack
,
  • When you make valid outgoing calls or receive incoming calls, it will consume from the Economy Class Pack.",mobilenew,mobile_roaming
Is it possible to purchase multiple BE phones against one old phone?,No. Only one new Be Social 4 phone can be purchased against one old device.,mobilenew,mobile_modems
Is it possible to purchase other products against trade-up?,No. Only Be Social 4 phone can be purchased.,mobilenew,mobile_modems
What if the customer says that his old phone is more valuable than new BE phone?,It is upto the customer to purchase BE phone against his old phone.,mobilenew,mobile_modems
Is the customer allowed to ask for the device back once submitted for trade-up?,No. Customer will not be able to ask the device back once the form is signed. Transaction is full and final.,mobilenew,mobile_modems
Does the customer get a refund if he changes his mind after the purchase of BE phone?,No. Trade-up once completed is full and final.,mobilenew,mobile_modems
What is 3.5G Router? ,"The Etisalat 3.5G Router is simply a super speed connecting device that can be plugged into
,
- any PC or laptop for single user mode, or
,
- plugged into the power socket for multi user mode to provide Internet connection up to 7.2Mbps over HSDPA network (High Speed Downlink Packet Access).",mobilenew,mobile_modems
Can I install the 3.5G Router myself? ,The 3.5G Router is a plug and play device and installs the software by itself once you have plugged it into the PC or laptop. There are no other drivers or software required.,mobilenew,mobile_modems
What are the minimum requirements for my PC or laptop to work with the 3.5G Router?,"The following are the minimum requirements for the 3.5G Router:
,
- Any PC or laptop with at least one free USB interface
,
- CPU: Pentium 500MHz or above
,
- Memory: 128MB RAM or above
,
- Hard Disk: 50MB free disk space
,
- Operating system: Windows 2000/XP/Vista
,
- Display resolution: 800*600 pixels or above 1024*768 is recommended)",mobilenew,mobile_modems
Can I use the 3.5G Router overseas?,Yes. You can use the router overseas provided there is HSDPA / 3G / GPRS coverage.,mobilenew,mobile_modems
"Can the Internet connection, using the 3.5G router, be shared with my family?",Yes. The router is portable and can be used with any laptop or PC.,mobilenew,mobile_modems
What do the LED lights represent?,Your router shows you its network status with a small coloured light. This LED is handy to see your current connection type & status at a glance.,mobilenew,mobile_modems
What else do I need to use start using this product?,"All you need to have is the router, insert a 3G SIM card in the device and plug it into any PC or laptop that needs to be provided with an Internet connection.",mobilenew,mobile_modems
Do I need a specific SIM card?,"Yes. You need a 3G USIM card. Or, you can apply for a new GSM Data line connection dedicated for Internet access and SMS services only; all other calls and services - such as video call, voice call, etc. including incoming calls will be disabled. This option is suitable for those users who wish to have a special card dedicated for Internet access via laptop.",mobilenew,mobile_modems
What are the different service schemes available?,"There are two different price plans to choose from:
,
Pay as You Use: This is suitable if your usage varies every month and if you do not wish to make an upfront payment every month.
,
Data bundles: This provides a certain amount of data per month for a fixed fee with additional usage charged separately. Data bundles are suitable if your usage is consistent every month and you want to control your monthly cost. Medium and high packages are available for data users. .",mobilenew,mobile_modems
Can I use a SIM card from other operators on the Router?,"No, 3.5G Routers delivered by Etisalat are SIM locked and cannot be used with other operators.",mobilenew,mobile_modems
Where can I purchase the 3.5G Router?,3.5G Routers are available in the commercial stores of Etisalat main Business Centers or at retail outlets across the UAE.,mobilenew,mobile_modems
Will my 3.5G router work with Windows Vista?,Yes. 3.5G Routers are Vista ready and are supported by Windows Vista.,mobilenew,mobile_modems
What is the 3.5G USB Modem? ,Eltisalat USB Modem is a perfect option for Internet access on the go. This innovative product features an eye-catching stylish design and great speeds that can be used on laptops as well as on desktop computers. The 3.5G modem provides you with wireless Internet access.,mobilenew,mobile_modems
Will Roaming Callback usage be part of this voice pack allowance?,No. Roaming callback usage will be charged separately as per its standard rate.,mobilenew,mobile_roaming
How many data units will I get for my package allowance?,"etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_roaming
"How my data units will be consumed for package, and pay-as-you-go usage?","When consuming data from a roaming data package, or at a pay-as-you-go rate your allowance will be deducted on the basis of 30 KB increments. Only in Lebanon, your pay-as-you-go roaming data usage without any package, will be rated on a 10 KB pulse.",mobilenew,mobile_roaming
What are the Voice Roaming packs offered by Etisalat & their benefit?,Etisalat offers a wide range of incoming voice roaming packs giving you a unique saving plan to receive calls for as low as 0.5 AED/Min.,mobilenew,mobile_roaming
Where can we use the pack?,"Pack covers all travel destinations; excluding satellite, maritime & flight operators. (Almost 700 roaming partners in more than 200 countries). Please , to view the list of all Etisalat Roaming Partners and the availability of roaming services.",mobilenew,mobile_roaming
What is the eligibility for subscription?,All Etisalat post-paid & pre-paid customers (Consumer & Business) are eligible.,mobilenew,mobile_roaming
Do I need to have roaming service activated?,"Yes. Post-paid customers should have full roaming or special roaming service enabled prior to subscription.,Prepaid subscribers must have enough balance to cover the pack fee prior to subscription.",mobilenew,mobile_roaming
How do I purchase Etisalat's Incoming Voice Roaming Pack?,"It's simple to purchase the voice packs. You can use any of the following 3 methods:,- Dial *177# (can be done from UAE or abroad).
,
- Text the desired SMS purchase code (below listed) to 1010 from UAE or abroad.
",mobilenew,mobile_roaming
How can I check my pack status?,"You can always inquire about usage/pack via *177#.,Also SMS will be sent to the customers in case of:
,
- Consuming 100% of pack allowance before time expiry
,
- Time expiry before consuming the full allowance",mobilenew,mobile_roaming
Can I purchase the pack before traveling?,"Yes, we advise you to do so.,Pack validity starts only from first terminated call received abroad as below:
,
- Weekly voice pack: Valid form 1st terminated call abroad until end of 7 days.
,
- Monthly voice pack: Valid form 1st terminated call abroad until end of 30 days.",mobilenew,mobile_roaming
Can I cancel the pack after purchasing?,No. It is not allowed to cancel the pack as it is a one time subscription.,mobilenew,mobile_roaming
Can I buy more than one voice pack at the same time?,No. It is not allowed to have the same pack subscribed more than once at the same time. You can repurchase the same pack after the old one expires.,mobilenew,mobile_roaming
Can I re-purchase Voice Roaming Packs?,"You can re-purchase them once:
,
- If the pack is expires due to time validity (day/week) or
,
- The consumption of incoming voice allowance is before the time validity (day/week)",mobilenew,mobile_roaming
How can I view & purchase any other roaming pack?,"By dialling *177# or sending ROAME (for English) or ROAMA (for Arabic) to 1010 for SMS purchase codes. Detailed information is also available on ,.",mobilenew,mobile_roaming
Do I need to have roaming service activated?,"Yes. Post-paid customers should have full roaming or special roaming service enabled prior subscription.,Prepaid subscribers must have enough balance to cover the pack fee prior to subscription.",mobilenew,mobile_roaming
Can I purchase the pack before traveling?,"Yes, we advise you to do so.,Pack validity starts only from first internet access abroad until end of 30 days",mobilenew,mobile_roaming
Can I cancel the pack after purchasing?,No. It is not allowed to cancel the pack as it is a one time subscription.,mobilenew,mobile_roaming
How can I view & purchase any other roaming pack?,"By dialling *177# or sending ROAME (for English) or ROAMA (for Arabic) to 1010 for SMS purchase codes. Detailed information is also available on ,.",mobilenew,mobile_roaming
How many data units will I get for my package allowance?,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion –
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes
",mobilenew,mobile_roaming
"How my data units will be consumed for package, and pay-as-you-go usage?","When consuming data from a roaming data package, or at a pay-as-you-go rate your allowance will be deducted on the basis of 30 KB increments. Only in Lebanon, your pay-as-you-go roaming data usage without any package, will be rated on a 10 KB pulse.",mobilenew,mobile_roaming
Can I install the Data USB Modem myself? ,The 3.5G Modem is a plug and play device and installs the software by itself once you have plugged it into the PC or laptop. There are no other drivers or software required.,mobilenew,mobile_modems
What are the minimum requirements for my PC or laptop to work with Data USB Modem?,"The minimum requirements for the 3.5G USB modem are as follows: Any PC or laptop with,- at least one free USB interface,- CPU: Pentium 500MHz or above,- Memory: 128MB RAM or above,- Hard Disk: 50MB free disk space,- Operating system: Windows 2000/XP/Vista,- Display resolution: 800*600 pixels or above 1024*768 is recommended)",mobilenew,mobile_modems
Can I use the Data USB Modem overseas?,Yes. You can use the router in those countries where the mobile operator provides HSDPA / 3G / GPRS coverage.,mobilenew,mobile_modems
"Can the Internet connection, using the 3.5G USB Modem, be shared with my family?","Yes. The router is portable and can be used on any laptop or PC, subject to the minimum requirements mentioned above.",mobilenew,mobile_modems
"Why am I getting the message ""Modem not responding""?","What is the maximum number of characters in an SMS text message? Each message can contain 70 Arabic characters or 1000 characters in English. However, while sending, the messages are broken down into 160 characters per message for English.",mobilenew,mobile_modems
What do the LED lights represent?,Your USB Modem shows you its network status with a small coloured light. This LED is handy to see your current connection type & status at a glance.,mobilenew,mobile_modems
What else do I need to use start using this product?,Besides the USB modem you will need a 3G SIM card. Insert the 3G SIM card in the device and plug into any PC or laptop that needs to be provided with an Internet connection.,mobilenew,mobile_modems
Do I need a specific SIM card?,"Yes, you need a 3G USIM card. Or, you can apply for a new GSM data line connection dedicated for Internet access and SMS services only; all other calls and services - such as video calls, voice calls, etc. including incoming calls will be disabled. This option is suitable for those users who wish to have a special card dedicated for Internet access via laptop.",mobilenew,mobile_modems
What are the different service schemes available?,There are two different price plans to choose from: Pay as You Use: This is suitable if your usage varies every month and if you do not wish to make an upfront payment every month. Data bundles: This provides a certain amount of data per month for a fixed fee with additional usage charged separately. Data bundles are suitable if your usage is consistent every month and you want to control your monthly cost. Medium and high packages are available for data users.,mobilenew,mobile_modems
Can I use a SIM card from other operators on the USB Modem?,"No, the 3.5G Modems delivered by Etisalat are SIM locked and cannot be used with other operators.",mobilenew,mobile_modems
Where can I purchase the USB Modem?,USB Modems are available in all the commercial stores of Etisalat main Business Centers or at retail outlets across the UAE.,mobilenew,mobile_modems
Will my 3.5G modem work with Windows Vista?,Yes. 3.5G USB Modems are Windows Vista enabled and are supported by Windows Vista.,mobilenew,mobile_modems
What is MobileCam? ,"It is a camera in which one can insert a SIM card and can monitor the camera from a handset. Moreover, the camera can be adjusted from the mobile i.e. adjust the angle, brightness and zoom of the camera.",mobilenew,mobile_modems
What type of SIM card can I insert in the camera?,You should insert a 3G prepaid or postpaid SIM card.,mobilenew,mobile_modems
Do I need a special handset for the MobileCam Service? ,"Yes, you need to have a 3G handset to be able to use this service.",mobilenew,mobile_modems
What do I need to use this service? ,All you need to have is a MobileCam device. Insert a SIM card which supports the 3G service in the device and enjoy the service from your 3G handset.,mobilenew,mobile_modems
Where can I get a MobileCam?,MobileCams is available in the commercial stores of Etisalat main business centers. Retailers will be appointed soon.,mobilenew,mobile_modems
Can a prepaid subscriber use the Mobile CAM service? ,"Yes, provided the user has subscribed to the video call service.",mobilenew,mobile_modems
What are the service charges? ,Charges will be based on the normal video calls tariff. No additional charges are applicable.,mobilenew,mobile_modems
What is the MobileCam device priced at?,The MobileCam with amazing features is offered at AED 799/-.,mobilenew,mobile_modems
Is it possible for others to use my MobileCam?,"Yes, you can add 20 numbers of individuals who can use the same camera.",mobilenew,mobile_modems
Can I block anyone from using the camera? And how? ,Yes you can. You should access the main menu in the camera and enter the ‘Delete User’ interface or send an SMS command to the camera.,mobilenew,mobile_modems
What is International Roaming?,International Roaming lets you use your mobile phone to make calls when travelling outside the UAE. You can easily reach your family and business colleagues back home as well as make calls to anywhere in the world.,mobilenew,mobile_roaming
How to call a number in another country whilst International Roaming?,"If you are roaming in the UK and would like to call someone in Dubai on telephone number, you need to dial as follows:
,
+971 4 xxxxxxx = (country code) + (area code) + (number you wish to call).
,
Please add '+' before the country code while dialing any number.",mobilenew,mobile_roaming
How to call a number in the same (visited) country whilst International Roaming?,"If you are roaming in the UK and want to call someone in the UK (London) on telephone number, you need to dial as follows:
,
0207 xxxxxxx = (London area code) + (number you wish to call).",mobilenew,mobile_roaming
How many data units will I get for my package allowance?,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion –
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes
",mobilenew,mobile_roaming
"How my data units will be consumed for package, and pay-as-you-go usage?","When consuming data from a roaming data package, or at a pay-as-you-go rate your allowance will be deducted on the basis of 30 KB increments. Only in Lebanon, your pay-as-you-go roaming data usage without any package, will be rated on a 10 KB pulse.",mobilenew,mobile_roaming
What is Etisalat Roaming Callback Service?,"Etisalat introduced a callback service allowing customers to make calls while roaming at very special flat rate of AED 3/min using a USSD string to convert the outgoing call to an incoming one. With this service, we offer price discount of up to 77% on charges of outgoing direct roaming calls.,With the new Etisalats Roaming Callback App, you can initiate a callback to any number within the visited country, UAE or other countries without the need to manually dial the USSD callback code each time you make a call.",mobilenew,mobile_roaming
Does the flat rate cover all outgoing calls?,"The number called can be within the UAE, the visited country or any other IDD numbers (excluding calls to satellite, maritime and premium numbers).,However, video calls are not supported.",mobilenew,mobile_roaming
How can customers avail of this special rate?,"No opt-in/activation is required. Flat rate is offered by default to all postpaid and prepaid customers, consumers and business.",mobilenew,mobile_roaming
How does this Roaming Callback service work?,"• Just download the Etisalat Roaming Callback App for free from Google Play store or Apple App store (for iOS 9 and above) based on your device and install
,
• Select a contact from your contact list and make a call normally
,
• A pop-up will notify you about receiving an incoming call from Etisalat, showing your own number
,
• Accept this call to connect you immediately with the desired destination/number and enjoy the special rate of outgoing call",mobilenew,mobile_roaming
What are the benefits of Etisalat Roaming Callback Application?,"• No need to opt-in. Just download the Etisalat Roaming Callback App for free, install and use
,
• Hassle-free dialling– no need to manually dial the USSD codes and contact number anymore
,
• No data connection required to use the App
,
• Displays the same contact list from your native phone book
,
• Added features like recent call history and USSD-ready dialpad for unsaved numbers
",mobilenew,mobile_roaming
How will I enjoy the service if I don’t have an Apple or Android smartphone?,"Even if you don’t have an Apple or Android smartphone, you can still make an outgoing roaming call at this special flat rate through callback service by dialling*145*00(CountryCode)(PhoneNumber)# and then pressing the call button.,You can also use either “+” or “00” e.g. If you are roaming in the UK, dial *145*009715XXXXXXXX# (to call an Etisalat number) or *145*0096611YYYYYYY# (to call a landline in KSA– Riyadh).",mobilenew,mobile_roaming
Can I enjoy this roaming callback service anywhere?,"The Roaming Callback service is offered by Etisalat across 188 countries through more than 600 partner networks. For the list of roaming partners and availability of roaming services, please visit ,.,Please note that the Roaming Callback service code *145* could be blocked by some of the operators or used for their local services.",mobilenew,mobile_roaming
What happens if I use this service in a destination barred by Etisalat?,"You will be notified (via flash message) ""Callback cannot be initiated through this operator, please try another one.""",mobilenew,mobile_roaming
What happens if I call a barred number?,"You will be notified (via flash message) ""Callback cannot be initiated to dialled destination.""",mobilenew,mobile_roaming
Can I also use this callback service while in the UAE?,"No, the service is only allowed while roaming.",mobilenew,mobile_roaming
Can I use my voice roaming pack for USSD callback?,"No, USSD calls will not be deducted from your roaming pack allowance.",mobilenew,mobile_roaming
Will these USSD callback calls appear in my bill/invoice?,"Yes, they will be billed in your postpaid account as ""Roaming Callback"".",mobilenew,mobile_roaming
Can I use SIM card from other operators on the MobileCam device? ,"No, all MobileCam devices delivered by Etisalat are SIM locked and can not be used with other operators.",mobilenew,mobile_modems
Can I record using the camera from my mobile? How? ,"Yes, you can. You should access the main menu in the camera and enter the ‘Video Recording’ interface.",mobilenew,mobile_modems
Where will the recorded file be saved? How can I open it? ,The recorded file will be saved in the T-Flash card. You can open it by using the card reader in the PC.,mobilenew,mobile_modems
Can I change the camera administrator of the camera? How?,"Yes you can, you should access the main menu in the camera and enter the ‘Administrator Change’ interface or send an SMS command to the camera.",mobilenew,mobile_modems
Do I need to enter any password when I access the camera? ,"Yes, the camera administrator will be prompted to enter the user’s PIN code (the default PIN code is 0000) followed by * key.",mobilenew,mobile_modems
Can I change the PIN number used for accessing the camera? ,"Yes you can, you should access the main menu in the camera and enter the ‘Change PIN’ interface or send an SMS command to the camera.",mobilenew,mobile_modems
What if I forget my PIN Code? ,Visit the nearest Etisalat Business Center for assistance.,mobilenew,mobile_modems
How can I find out if my area supports 4G LTE network?,"Etisalat covers the widest coverage in UAE almost 0% of the populated area.,You can check if your area is within the network by clicking ,.",mobilenew,mobile_modems
Can the Wifi coverage be affected by any factor?,"Yes, even within a coverage area, many factors, including location factors (indoor/outdoor), frequency differences, and device capability, building materials, foliage and weather which may cause a drop in connections, slower data speeds affect availability and quality of service or otherwise impact the quality of services.",mobilenew,mobile_modems
What type of SIM Cards will I use?,You will require data Sim cards to be inserted in to the Wifi or USB modem. (Data SIM Cards are available for AED 25).,mobilenew,mobile_modems
Can I use Etisalat internet devices with non Etisalat data SIM cards?,Etisalat internet devices are compatible with Etisalat network only.,mobilenew,mobile_modems
What happens when I complete my contract?,Any customer that completes the 6 or 12 month's contract can either:,mobilenew,mobile_modems
What if I want to cancel my contract at any time and keep the device?,"Any customer on a contract who wishes to cancel/terminate his line will have to pay all remaining amount in his contract before terminating the line.,The remaining amount in the contract will be automatically by the system and sales will be able to share the amount with sub before confirming the cancellation.",mobilenew,mobile_modems
Can I use My Data Plan packages while roaming? ,The included Data volume is limited to local only.,mobilenew,mobile_modems
"I am subscribed to the Hard cap, will I be able to use the daily free data between 12:00-03:00 am, if I consumed the allocated data?","Yes, you can enjoy Free Data hour even if you have consumed the subscribed data pack, with or without hard cap",mobilenew,mobile_modems
Having problems with your iPhone? ,,mobilenew,mobile_devices
What is flexible minutes?,"Flexible minutes is a new type of add-on introduced by etisalat, it allows you to make local, international calls & receive calls while roaming as well from the same bundle.",mobilenew,mobile_devices
Can I upgrade/downgrade between different packages in etisalat smartphones plans?,"Yes you can as per the matrix below. However upgrade/downgrade between available plans is allowed only once, during your contract.",mobilenew,mobile_devices
Can I subscribe to different postpaid add ons such as preferred number add on? ,"Yes, you can.",mobilenew,mobile_devices
Can I cancel my contract at any point of time? ,"Yes, you can. However, if you cancel your contract before completing the full period, you will be liable to pay exit charges for the remaining months.",mobilenew,mobile_devices
Which day of the month would I receive my monthly allowance from voice minutes & data?,"On the first of every month, we will reset your account and provide you with your subscribed voice minutes & data.",mobilenew,mobile_devices
What happens after my contract expires?,"When your contract expires you can do any of the following:
,
• Purchase a new phone & renew your contract, or
,
• Cancel your package & subscribe to anyone of etisalat mobile packages that suits your needs
,
• Continue receiving the same benefits without a yearly commitment",mobilenew,mobile_devices
